"filename", "language", "HTML", "Markdown", "Python", "JavaScript", "Ignore", "vue", "pip requirements", "JSON", "CSS", "MS SQL", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\HolidayExchange.vue", "vue", 0, 0, 0, 0, 0, 593, 0, 0, 0, 0, 2, 47, 642
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\HolidaySettings.vue", "vue", 0, 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 43, 457
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\Leave.vue", "vue", 0, 0, 0, 0, 0, 913, 0, 0, 0, 0, 7, 71, 991
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\LeaveAllRecords.vue", "vue", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 14, 217
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\ManualEntry.vue", "vue", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 5, 132
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\MyApplications.vue", "vue", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 11, 193
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\Overtime.vue", "vue", 0, 0, 0, 0, 0, 798, 0, 0, 0, 0, 7, 67, 872
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\PendingTasks.vue", "vue", 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 32, 328
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\attendance\ShiftSchedule.vue", "vue", 0, 0, 0, 0, 0, 1441, 0, 0, 0, 0, 6, 75, 1522
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\file\FileNumbering.vue", "vue", 0, 0, 0, 0, 0, 1573, 0, 0, 0, 0, 4, 102, 1679
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\file\PolicyQuery.vue", "vue", 0, 0, 0, 0, 0, 739, 0, 0, 0, 0, 3, 54, 796
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\file\TechCategoryManage.vue", "vue", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 28, 259
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\views\file\WorkNoManage.vue", "vue", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 29, 265
"e:\Desktop\tuixiu_protect\OA_system\vue-project\vite.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 12, 296, 14549, 1376, 16, 24068, 19, 1704, 535, 84, 984, 4567, 48210
