"filename", "language", "Markdown", "Python", "JavaScript", "vue", "JSON with Comments", "MS SQL", "HTML", "pip requirements", "Ignore", "JSON", "CSS", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_paid_annual_leave_qj_from_xlsx.py", "Python", 0, 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 73, 420
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_qj_from_access.py", "Python", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57, 328
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_yggl_enterprise_email_from_excel.py", "Python", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 161
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\import_yggl_gh_by_sfzh.py", "Python", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 198
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\migrate_attendance_suggestions_drop_suggestion_date.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\subtract_hxp.py", "Python", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 119
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_bianhao_from_access.py", "Python", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 158
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_bianhaogl_from_access.py", "Python", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31, 159
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_bianhaogljs_from_access.py", "Python", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 158
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_gcsqb_from_access.py", "Python", 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42, 275
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_gzh_from_access.py", "Python", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 158
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\sync_hxp_from_access.py", "Python", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33, 185
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\删除打卡和建议.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\services\policy_vector.py", "Python", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27, 257
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\chart_font.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 94
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\excel_processor.py", "Python", 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 72, 417
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\helpers.py", "Python", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33, 169
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\holiday_loader.py", "Python", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 56
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\hxp_helper.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 42
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\utils\overtime_exchange.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"e:\Desktop\tuixiu_protect\OA_system\oa_system.gitignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 3, 23
"e:\Desktop\tuixiu_protect\OA_system\scripts\add_policy_attachments.sql", "MS SQL", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 2, 9
"e:\Desktop\tuixiu_protect\OA_system\test.py", "Python", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34, 155
"e:\Desktop\tuixiu_protect\OA_system\vue-project\README.md", "Markdown", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 167
"e:\Desktop\tuixiu_protect\OA_system\vue-project\index.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 20
"e:\Desktop\tuixiu_protect\OA_system\vue-project\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1782, 0, 0, 1, 1783
"e:\Desktop\tuixiu_protect\OA_system\vue-project\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\assets\json\中华人民共和国-轮廓.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20379, 0, 0, 77, 20456
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\assets\json\中华人民共和国.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27252, 0, 0, 1, 27253
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\assets\json\运输路径.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 1, 128
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\china.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\china_city_coords.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 1, 345
"e:\Desktop\tuixiu_protect\OA_system\vue-project\public\world.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Desktop\tuixiu_protect\OA_system\vue-project\src\App.vue", "vue", 0, 0, 0, 2306, 0, 0, 0, 0, 0, 0, 0, 6, 176, 2488
